# Redshift z          Angular distance [Mpc]
  0.0100000          42.307808
  0.0200000          83.595913
  0.0300000          123.89288
  0.0400000          163.22625
  0.0500000          201.62255
  0.0600000          239.10736
  0.0700000          275.70581
  0.0800000          311.44085
  0.0900000          346.33592
  0.100000          380.41325
  0.110000          413.69431
  0.120000          446.19984
  0.130000          477.94993
  0.140000          508.96397
  0.150000          539.26075
  0.160000          568.85847
  0.170000          597.77471
  0.180000          626.02686
  0.190000          653.63079
  0.200000          680.60283
  0.210000          706.95852
  0.220000          732.71291
  0.230000          757.88060
  0.240000          782.47577
  0.250000          806.51217
  0.260000          830.00315
  0.270000          852.96168
  0.280000          875.40035
  0.290000          897.33140
  0.300000          918.76673
  0.310000          939.71788
  0.320000          960.19609
  0.330000          980.21253
  0.340000          999.77735
  0.350000          1018.9011
  0.360000          1037.5939
  0.370000          1055.8655
  0.380000          1073.7255
  0.390000          1091.1830
  0.400000          1108.2472
  0.410000          1124.9269
  0.420000          1141.2306
  0.430000          1157.1668
  0.440000          1172.7434
  0.450000          1187.9684
  0.460000          1202.8495
  0.470000          1217.3943
  0.480000          1231.6102
  0.490000          1245.5043
  0.500000          1259.0836
  0.510000          1272.3549
  0.520000          1285.3248
  0.530000          1297.9999
  0.540000          1310.3864
  0.550000          1322.4905
  0.560000          1334.3183
  0.570000          1345.8756
  0.580000          1357.1682
  0.590000          1368.2017
  0.600000          1378.9816
  0.610000          1389.5131
  0.620000          1399.8016
  0.630000          1409.8520
  0.640000          1419.6694
  0.650000          1429.2587
  0.660000          1438.6246
  0.670000          1447.7717
  0.680000          1456.7046
  0.690000          1465.4276
  0.700000          1473.9452
  0.710000          1482.2615
  0.720000          1490.3807
  0.730000          1498.3069
  0.740000          1506.0440
  0.750000          1513.5958
  0.760000          1520.9661
  0.770000          1528.1587
  0.780000          1535.1771
  0.790000          1542.0249
  0.800000          1548.7055
  0.810000          1555.2223
  0.820000          1561.5786
  0.830000          1567.7776
  0.840000          1573.8225
  0.850000          1579.7165
  0.860000          1585.4624
  0.870000          1591.0633
  0.880000          1596.5221
  0.890000          1601.8416
  0.900000          1607.0245
  0.910000          1612.0737
  0.920000          1616.9917
  0.930000          1621.7811
  0.940000          1626.4445
  0.950000          1630.9844
  0.960000          1635.4032
  0.970000          1639.7032
  0.980000          1643.8870
  0.990000          1647.9566
  1.00000          1651.9144
