# Mass [10^15 Msun]      bias(M,z=1)
  0.0100000              1.76052
  0.0102329              1.76973
  0.0104713              1.77903
  0.0107152              1.78843
  0.0109648              1.79792
  0.0112202              1.80751
  0.0114815              1.81721
  0.0117490              1.82700
  0.0120226              1.83689
  0.0123027              1.84689
  0.0125893              1.85700
  0.0128825              1.86720
  0.0131826              1.87752
  0.0134896              1.88795
  0.0138038              1.89848
  0.0141254              1.90912
  0.0144544              1.91988
  0.0147911              1.93076
  0.0151356              1.94174
  0.0154882              1.95285
  0.0158489              1.96407
  0.0162181              1.97541
  0.0165959              1.98688
  0.0169824              1.99847
  0.0173780              2.01018
  0.0177828              2.02202
  0.0181970              2.03398
  0.0186209              2.04608
  0.0190546              2.05830
  0.0194984              2.07066
  0.0199526              2.08315
  0.0204174              2.09578
  0.0208930              2.10855
  0.0213796              2.12145
  0.0218776              2.13450
  0.0223872              2.14769
  0.0229087              2.16103
  0.0234423              2.17451
  0.0239883              2.18814
  0.0245471              2.20192
  0.0251189              2.21586
  0.0257040              2.22995
  0.0263027              2.24420
  0.0269154              2.25860
  0.0275423              2.27317
  0.0281838              2.28790
  0.0288403              2.30279
  0.0295121              2.31785
  0.0301995              2.33308
  0.0309030              2.34849
  0.0316228              2.36406
  0.0323594              2.37982
  0.0331131              2.39575
  0.0338844              2.41186
  0.0346737              2.42816
  0.0354813              2.44464
  0.0363078              2.46132
  0.0371535              2.47818
  0.0380189              2.49523
  0.0389045              2.51248
  0.0398107              2.52993
  0.0407380              2.54759
  0.0416869              2.56544
  0.0426579              2.58351
  0.0436516              2.60178
  0.0446684              2.62027
  0.0457088              2.63897
  0.0467735              2.65789
  0.0478630              2.67703
  0.0489779              2.69640
  0.0501187              2.71599
  0.0512861              2.73582
  0.0524808              2.75588
  0.0537032              2.77617
  0.0549541              2.79671
  0.0562341              2.81749
  0.0575440              2.83852
  0.0588844              2.85980
  0.0602559              2.88133
  0.0616595              2.90312
  0.0630957              2.92517
  0.0645654              2.94749
  0.0660693              2.97008
  0.0676083              2.99293
  0.0691831              3.01607
  0.0707946              3.03948
  0.0724436              3.06318
  0.0741310              3.08717
  0.0758578              3.11145
  0.0776247              3.13603
  0.0794328              3.16091
  0.0812831              3.18609
  0.0831764              3.21158
  0.0851138              3.23739
  0.0870964              3.26351
  0.0891251              3.28996
  0.0912011              3.31673
  0.0933254              3.34384
  0.0954993              3.37128
  0.0977237              3.39907
  0.100000              3.42720
  0.102329              3.45569
  0.104713              3.48453
  0.107152              3.51374
  0.109648              3.54331
  0.112202              3.57326
  0.114815              3.60358
  0.117490              3.63429
  0.120226              3.66539
  0.123027              3.69689
  0.125893              3.72878
  0.128825              3.76109
  0.131826              3.79381
  0.134896              3.82695
  0.138038              3.86051
  0.141254              3.89450
  0.144544              3.92894
  0.147911              3.96382
  0.151356              3.99915
  0.154882              4.03494
  0.158489              4.07120
  0.162181              4.10792
  0.165959              4.14513
  0.169824              4.18283
  0.173780              4.22102
  0.177828              4.25971
  0.181970              4.29892
  0.186209              4.33864
  0.190546              4.37888
  0.194984              4.41966
  0.199526              4.46099
  0.204174              4.50286
  0.208930              4.54529
  0.213796              4.58828
  0.218776              4.63186
