# Redshift z          dV/dz/dOmega [Mpc^3]
  0.0100000          7784692.6
  0.0200000          30856159.
  0.0300000          68791018.
  0.0400000          1.2116685e+08
  0.0500000          1.8756269e+08
  0.0600000          2.6755938e+08
  0.0700000          3.6074100e+08
  0.0800000          4.6669093e+08
  0.0900000          5.8499859e+08
  0.100000          7.1525550e+08
  0.110000          8.5705679e+08
  0.120000          1.0100016e+09
  0.130000          1.1736929e+09
  0.140000          1.3477382e+09
  0.150000          1.5317495e+09
  0.160000          1.7253439e+09
  0.170000          1.9281437e+09
  0.180000          2.1397788e+09
  0.190000          2.3598773e+09
  0.200000          2.5880800e+09
  0.210000          2.8240323e+09
  0.220000          3.0673844e+09
  0.230000          3.3177926e+09
  0.240000          3.5749213e+09
  0.250000          3.8384389e+09
  0.260000          4.1080219e+09
  0.270000          4.3833522e+09
  0.280000          4.6641204e+09
  0.290000          4.9500217e+09
  0.300000          5.2407585e+09
  0.310000          5.5360413e+09
  0.320000          5.8355858e+09
  0.330000          6.1391188e+09
  0.340000          6.4463640e+09
  0.350000          6.7570617e+09
  0.360000          7.0709548e+09
  0.370000          7.3877939e+09
  0.380000          7.7073374e+09
  0.390000          8.0293483e+09
  0.400000          8.3535980e+09
  0.410000          8.6798637e+09
  0.420000          9.0079298e+09
  0.430000          9.3375888e+09
  0.440000          9.6686316e+09
  0.450000          1.0000867e+10
  0.460000          1.0334101e+10
  0.470000          1.0668151e+10
  0.480000          1.1002839e+10
  0.490000          1.1337991e+10
  0.500000          1.1673445e+10
  0.510000          1.2009036e+10
  0.520000          1.2344613e+10
  0.530000          1.2680025e+10
  0.540000          1.3015129e+10
  0.550000          1.3349785e+10
  0.560000          1.3683864e+10
  0.570000          1.4017235e+10
  0.580000          1.4349777e+10
  0.590000          1.4681373e+10
  0.600000          1.5011912e+10
  0.610000          1.5341281e+10
  0.620000          1.5669375e+10
  0.630000          1.5996102e+10
  0.640000          1.6321365e+10
  0.650000          1.6645072e+10
  0.660000          1.6967142e+10
  0.670000          1.7287485e+10
  0.680000          1.7606031e+10
  0.690000          1.7922696e+10
  0.700000          1.8237420e+10
  0.710000          1.8550130e+10
  0.720000          1.8860767e+10
  0.730000          1.9169265e+10
  0.740000          1.9475575e+10
  0.750000          1.9779638e+10
  0.760000          2.0081404e+10
  0.770000          2.0380832e+10
  0.780000          2.0677870e+10
  0.790000          2.0972483e+10
  0.800000          2.1264626e+10
  0.810000          2.1554268e+10
  0.820000          2.1841374e+10
  0.830000          2.2125912e+10
  0.840000          2.2407857e+10
  0.850000          2.2687182e+10
  0.860000          2.2963859e+10
  0.870000          2.3237869e+10
  0.880000          2.3509191e+10
  0.890000          2.3777806e+10
  0.900000          2.4043704e+10
  0.910000          2.4306866e+10
  0.920000          2.4567279e+10
  0.930000          2.4824935e+10
  0.940000          2.5079823e+10
  0.950000          2.5331940e+10
  0.960000          2.5581277e+10
  0.970000          2.5827828e+10
  0.980000          2.6071593e+10
  0.990000          2.6312567e+10
  1.00000          2.6550756e+10
