# Mass [10^15 Msun]      -dln(sigma)/dln(Mass)
  0.0100000              0.17697563
  0.0102329              0.17733971
  0.0104713              0.17771028
  0.0107152              0.17808190
  0.0109648              0.17845456
  0.0112202              0.17882814
  0.0114815              0.17920296
  0.0117490              0.17957947
  0.0120226              0.17995701
  0.0123027              0.18033520
  0.0125893              0.18071444
  0.0128825              0.18109565
  0.0131826              0.18147822
  0.0134896              0.18186094
  0.0138038              0.18224550
  0.0141254              0.18263171
  0.0144544              0.18301794
  0.0147911              0.18340620
  0.0151356              0.18379577
  0.0154882              0.18418643
  0.0158489              0.18457798
  0.0162181              0.18497096
  0.0165959              0.18536478
  0.0169824              0.18576050
  0.0173780              0.18615777
  0.0177828              0.18655506
  0.0181970              0.18695468
  0.0186209              0.18735516
  0.0190546              0.18775718
  0.0194984              0.18815971
  0.0199526              0.18856401
  0.0204174              0.18896975
  0.0208930              0.18937705
  0.0213796              0.18978496
  0.0218776              0.19019420
  0.0223872              0.19060435
  0.0229087              0.19101670
  0.0234423              0.19143048
  0.0239883              0.19184442
  0.0245471              0.19226090
  0.0251189              0.19267796
  0.0257040              0.19309655
  0.0263027              0.19351547
  0.0269154              0.19393727
  0.0275423              0.19435994
  0.0281838              0.19478364
  0.0288403              0.19520893
  0.0295121              0.19563545
  0.0301995              0.19606426
  0.0309030              0.19649243
  0.0316228              0.19692314
  0.0323594              0.19735555
  0.0331131              0.19778849
  0.0338844              0.19822354
  0.0346737              0.19865968
  0.0354813              0.19909690
  0.0363078              0.19953555
  0.0371535              0.19997597
  0.0380189              0.20041765
  0.0389045              0.20086064
  0.0398107              0.20130527
  0.0407380              0.20175140
  0.0416869              0.20219869
  0.0426579              0.20264688
  0.0436516              0.20309736
  0.0446684              0.20354893
  0.0457088              0.20400179
  0.0467735              0.20445681
  0.0478630              0.20491223
  0.0489779              0.20536990
  0.0501187              0.20582802
  0.0512861              0.20628872
  0.0524808              0.20674996
  0.0537032              0.20721345
  0.0549541              0.20767789
  0.0562341              0.20814418
  0.0575440              0.20861217
  0.0588844              0.20908077
  0.0602559              0.20955123
  0.0616595              0.21002362
  0.0630957              0.21049692
  0.0645654              0.21097212
  0.0660693              0.21144889
  0.0676083              0.21192694
  0.0691831              0.21240629
  0.0707946              0.21288779
  0.0724436              0.21337013
  0.0741310              0.21385432
  0.0758578              0.21433973
  0.0776247              0.21482742
  0.0794328              0.21531578
  0.0812831              0.21580645
  0.0831764              0.21629866
  0.0851138              0.21679156
  0.0870964              0.21728666
  0.0891251              0.21778337
  0.0912011              0.21828164
  0.0933254              0.21878154
  0.0954993              0.21928240
  0.0977237              0.21978562
  0.100000              0.22029007
  0.102329              0.22079575
  0.104713              0.22130344
  0.107152              0.22181275
  0.109648              0.22232373
  0.112202              0.22283576
  0.114815              0.22335023
  0.117490              0.22386566
  0.120226              0.22438316
  0.123027              0.22490189
  0.125893              0.22542289
  0.128825              0.22594486
  0.131826              0.22646863
  0.134896              0.22699333
  0.138038              0.22752097
  0.141254              0.22804937
  0.144544              0.22858003
  0.147911              0.22911195
  0.151356              0.22964528
  0.154882              0.23018098
  0.158489              0.23071772
  0.162181              0.23125637
  0.165959              0.23179668
  0.169824              0.23233871
  0.173780              0.23288257
  0.177828              0.23342761
  0.181970              0.23397437
  0.186209              0.23452339
  0.190546              0.23507370
  0.194984              0.23562562
  0.199526              0.23617925
  0.204174              0.23673504
  0.208930              0.23729225
  0.213796              0.23785132
  0.218776              0.23841167
  0.223872              0.23897400
  0.229087              0.23953803
  0.234423              0.24010379
  0.239883              0.24067112
  0.245471              0.24124060
  0.251189              0.24181111
  0.257040              0.24238366
  0.263027              0.24295820
  0.269153              0.24353396
  0.275423              0.24411207
  0.281838              0.24469176
  0.288403              0.24527282
  0.295121              0.24585601
  0.301995              0.24644066
  0.309030              0.24702707
  0.316228              0.24761536
  0.323594              0.24820561
  0.331131              0.24879721
  0.338844              0.24939045
  0.346737              0.24998610
  0.354813              0.25058257
  0.363078              0.25118162
  0.371535              0.25178166
  0.380189              0.25238404
  0.389045              0.25298824
  0.398107              0.25359365
  0.407380              0.25420134
  0.416869              0.25481050
  0.426580              0.25543254
  0.436516              0.25604514
  0.446684              0.25664486
  0.457088              0.25726141
  0.467735              0.25787943
  0.478630              0.25849944
  0.489779              0.25912130
  0.501187              0.25974427
  0.512861              0.26036931
  0.524808              0.26099642
  0.537032              0.26162520
  0.549541              0.26225529
  0.562341              0.26288756
  0.575440              0.26352119
  0.588844              0.26415683
  0.602560              0.26479451
  0.616595              0.26543369
  0.630957              0.26607481
  0.645654              0.26671747
  0.660694              0.26736173
  0.676083              0.26801851
  0.691831              0.26866662
  0.707946              0.26931606
  0.724436              0.26996732
  0.741310              0.27061968
  0.758578              0.27127482
  0.776247              0.27192413
  0.794328              0.27258219
  0.812830              0.27324264
  0.831764              0.27390446
  0.851138              0.27456787
  0.870964              0.27523246
  0.891251              0.27589934
  0.912011              0.27656819
  0.933254              0.27723874
  0.954993              0.27791078
  0.977237              0.27858430
  1.00000              0.27925960
  1.02329              0.27993693
  1.04713              0.28061578
  1.07152              0.28129609
  1.09648              0.28197853
  1.12202              0.28266215
  1.14815              0.28334747
  1.17490              0.28403502
  1.20226              0.28472392
  1.23027              0.28541442
  1.25893              0.28610654
  1.28825              0.28680028
  1.31826              0.28749548
  1.34896              0.28819228
  1.38038              0.28889137
  1.41254              0.28959084
  1.44544              0.29029326
  1.47911              0.29099704
  1.51356              0.29170173
  1.54882              0.29240841
  1.58489              0.29311668
  1.62181              0.29382659
  1.65959              0.29453811
  1.69824              0.29525122
  1.73780              0.29596528
  1.77828              0.29668135
  1.81970              0.29739891
  1.86209              0.29811800
  1.90546              0.29883906
  1.94984              0.29956059
  1.99526              0.30028461
  2.04174              0.30101030
  2.08930              0.30173608
  2.13796              0.30246447
  2.18776              0.30319377
  2.23872              0.30392468
  2.29087              0.30465730
  2.34423              0.30539066
  2.39883              0.30612600
  2.45471              0.30686269
  2.51189              0.30760069
  2.57040              0.30833981
  2.63027              0.30908081
  2.69154              0.30982319
  2.75423              0.31056668
  2.81838              0.31131132
  2.88403              0.31205766
  2.95121              0.31280515
  3.01995              0.31355335
  3.09030              0.31430356
  3.16228              0.31505495
  3.23594              0.31580782
  3.31131              0.31656129
  3.38844              0.31731622
  3.46737              0.31807240
  3.54813              0.31882992
  3.63078              0.31958877
  3.71535              0.32034856
  3.80189              0.32110941
  3.89045              0.32187126
  3.98107              0.32263464
  4.07380              0.32339936
  4.16869              0.32416464
  4.26580              0.32493104
  4.36516              0.32569901
  4.46684              0.32646746
  4.57088              0.32723714
  4.67735              0.32800815
  4.78630              0.32878007
  4.89779              0.32955275
  5.01187              0.33032658
  5.12861              0.33110105
  5.24808              0.33187676
  5.37032              0.33265321
  5.49541              0.33343074
  5.62341              0.33420918
  5.75440              0.33498824
  5.88844              0.33576847
  6.02560              0.33654932
  6.16595              0.33733124
  6.30957              0.33811379
  6.45654              0.33889688
  6.60693              0.33968108
  6.76083              0.34046617
  6.91831              0.34125150
  7.07946              0.34203782
  7.24436              0.34282491
  7.41310              0.34361279
  7.58578              0.34440090
  7.76247              0.34518969
  7.94328              0.34597931
  8.12831              0.34676974
  8.31764              0.34756061
  8.51138              0.34835176
  8.70964              0.34914362
  8.91251              0.34993637
  9.12011              0.35072917
  9.33254              0.35152277
  9.54993              0.35231624
  9.77237              0.35311055
  10.0000              0.35390527
