# Redshift z          Growth factor D(z)
  0.0100000          0.994881
  0.0200000          0.989778
  0.0300000          0.984695
  0.0400000          0.979630
  0.0500000          0.974584
  0.0600000          0.969558
  0.0700000          0.964552
  0.0800000          0.959567
  0.0900000          0.954604
  0.100000          0.949663
  0.110000          0.944744
  0.120000          0.939847
  0.130000          0.934974
  0.140000          0.930125
  0.150000          0.925299
  0.160000          0.920498
  0.170000          0.915722
  0.180000          0.910971
  0.190000          0.906244
  0.200000          0.901544
  0.210000          0.896869
  0.220000          0.892220
  0.230000          0.887598
  0.240000          0.883002
  0.250000          0.878433
  0.260000          0.873890
  0.270000          0.869375
  0.280000          0.864887
  0.290000          0.860426
  0.300000          0.855993
  0.310000          0.851587
  0.320000          0.847210
  0.330000          0.842859
  0.340000          0.838537
  0.350000          0.834242
  0.360000          0.829976
  0.370000          0.825737
  0.380000          0.821527
  0.390000          0.817344
  0.400000          0.813190
  0.410000          0.809063
  0.420000          0.804965
  0.430000          0.800894
  0.440000          0.796852
  0.450000          0.792837
  0.460000          0.788850
  0.470000          0.784891
  0.480000          0.780961
  0.490000          0.777057
  0.500000          0.773181
  0.510000          0.769333
  0.520000          0.765513
  0.530000          0.761720
  0.540000          0.757953
  0.550000          0.754215
  0.560000          0.750503
  0.570000          0.746818
  0.580000          0.743160
  0.590000          0.739529
  0.600000          0.735925
  0.610000          0.732347
  0.620000          0.728795
  0.630000          0.725269
  0.640000          0.721770
  0.650000          0.718296
  0.660000          0.714849
  0.670000          0.711426
  0.680000          0.708030
  0.690000          0.704658
  0.700000          0.701312
  0.710000          0.697991
  0.720000          0.694695
  0.730000          0.691423
  0.740000          0.688176
  0.750000          0.684954
  0.760000          0.681755
  0.770000          0.678581
  0.780000          0.675430
  0.790000          0.672303
  0.800000          0.669199
  0.810000          0.666120
  0.820000          0.663063
  0.830000          0.660029
  0.840000          0.657018
  0.850000          0.654029
  0.860000          0.651064
  0.870000          0.648120
  0.880000          0.645199
  0.890000          0.642299
  0.900000          0.639422
  0.910000          0.636566
  0.920000          0.633731
  0.930000          0.630918
  0.940000          0.628125
  0.950000          0.625354
  0.960000          0.622604
  0.970000          0.619874
  0.980000          0.617164
  0.990000          0.614475
  1.00000          0.611806
