# Mass [10^15 Msun]      dN/dz/dlnM(M,z=1) for 1 square degree
  0.0100000              776.42184
  0.0102329              753.73144
  0.0104713              731.64261
  0.0107152              710.11639
  0.0109648              689.14144
  0.0112202              668.70479
  0.0114815              648.79475
  0.0117490              629.40194
  0.0120226              610.51111
  0.0123027              592.10998
  0.0125893              574.18942
  0.0128825              556.74075
  0.0131826              539.75134
  0.0134896              523.20680
  0.0138038              507.10203
  0.0141254              491.42624
  0.0144544              476.16535
  0.0147911              461.31446
  0.0151356              446.86282
  0.0154882              432.80032
  0.0158489              419.11711
  0.0162181              405.80615
  0.0165959              392.85689
  0.0169824              380.26423
  0.0173780              368.01764
  0.0177828              356.10637
  0.0181970              344.52768
  0.0186209              333.26959
  0.0190546              322.32679
  0.0194984              311.68946
  0.0199526              301.35267
  0.0204174              291.30874
  0.0208930              281.55072
  0.0213796              272.06993
  0.0218776              262.86102
  0.0223872              253.91692
  0.0229087              245.23292
  0.0234423              236.80145
  0.0239883              228.61499
  0.0245471              220.67032
  0.0251189              212.95887
  0.0257040              205.47644
  0.0263027              198.21562
  0.0269154              191.17390
  0.0275423              184.34369
  0.0281838              177.71979
  0.0288403              171.29745
  0.0295121              165.07132
  0.0301995              159.03737
  0.0309030              153.18806
  0.0316228              147.52151
  0.0323594              142.03231
  0.0331131              136.71475
  0.0338844              131.56586
  0.0346737              126.58021
  0.0354813              121.75387
  0.0363078              117.08256
  0.0371535              112.56277
  0.0380189              108.18966
  0.0389045              103.95975
  0.0398107              99.869307
  0.0407380              95.914317
  0.0416869              92.091201
  0.0426579              88.395997
  0.0436516              84.826055
  0.0446684              81.377267
  0.0457088              78.046372
  0.0467735              74.830556
  0.0478630              71.725669
  0.0489779              68.729512
  0.0501187              65.838273
  0.0512861              63.049817
  0.0524808              60.360193
  0.0537032              57.767552
  0.0549541              55.268284
  0.0562341              52.860112
  0.0575440              50.540281
  0.0588844              48.305790
  0.0602559              46.154586
  0.0616595              44.084048
  0.0630957              42.091547
  0.0645654              40.174948
  0.0660693              38.331823
  0.0676083              36.559813
  0.0691831              34.856766
  0.0707946              33.220637
  0.0724436              31.649106
  0.0741310              30.140244
  0.0758578              28.691991
  0.0776247              27.302523
  0.0794328              25.969686
  0.0812831              24.691829
  0.0831764              23.467059
  0.0851138              22.293443
  0.0870964              21.169484
  0.0891251              20.093424
  0.0912011              19.063576
  0.0933254              18.078396
  0.0954993              17.136213
  0.0977237              16.235630
  0.100000              15.375141
  0.102329              14.553225
  0.104713              13.768596
  0.107152              13.019854
  0.109648              12.305667
  0.112202              11.624691
  0.114815              10.975797
  0.117490              10.357626
  0.120226              9.7691038
  0.123027              9.2090230
  0.125893              8.6763232
  0.128825              8.1698420
  0.131826              7.6885819
  0.134896              7.2314707
  0.138038              6.7976333
  0.141254              6.3859954
  0.144544              5.9956912
  0.147911              5.6257903
  0.151356              5.2754158
  0.154882              4.9437640
  0.158489              4.6299812
  0.162181              4.3333026
  0.165959              4.0529520
  0.169824              3.7881878
  0.173780              3.5383217
  0.177828              3.3026260
  0.181970              3.0804664
  0.186209              2.8712101
  0.190546              2.6742168
  0.194984              2.4888979
  0.199526              2.3146914
  0.204174              2.1510451
  0.208930              1.9974157
  0.213796              1.8533083
  0.218776              1.7182186
  0.223872              1.5916853
  0.229087              1.4732572
  0.234423              1.3624975
  0.239883              1.2589942
  0.245471              1.1623526
  0.251189              1.0721794
  0.257040              0.98812235
  0.263027              0.90983034
  0.269153              0.83696871
  0.275423              0.76922213
  0.281838              0.70628685
  0.288403              0.64787262
  0.295121              0.59370723
  0.301995              0.54352395
  0.309030              0.49708033
  0.316228              0.45413584
  0.323594              0.41446662
  0.331131              0.37785901
  0.338844              0.34411078
  0.346737              0.31303370
  0.354813              0.28444222
  0.363078              0.25817027
  0.371535              0.23405257
  0.380189              0.21193881
  0.389045              0.19168606
  0.398107              0.17315661
  0.407380              0.15622583
  0.416869              0.14077381
  0.426580              0.12670720
  0.436516              0.11388105
  0.446684              0.10221209
  0.457088              0.091621420
  0.467735              0.082015790
  0.478630              0.073315714
  0.489779              0.065445847
  0.501187              0.058336922
  0.512861              0.051924372
  0.524808              0.046148371
  0.537032              0.040953058
  0.549541              0.036286659
  0.562341              0.032102048
  0.575440              0.028354837
  0.588844              0.025004713
  0.602560              0.022014305
  0.616595              0.019349121
  0.630957              0.016977764
  0.645654              0.014871353
  0.660694              0.013003329
  0.676083              0.011350134
  0.691831              0.0098887513
  0.707946              0.0085996011
  0.724436              0.0074644547
  0.741310              0.0064667241
  0.758578              0.0055915019
  0.776247              0.0048245520
  0.794328              0.0041549198
  0.812830              0.0035709395
  0.831764              0.0030626261
  0.851138              0.0026210932
  0.870964              0.0022383604
