# Mass [10^15 Msun]      dN/dz/dlnM(M,z=1) for 1 square degree
  0.0100000              1744.6257
  0.0102329              1693.8048
  0.0104713              1644.3189
  0.0107152              1596.0815
  0.0109648              1549.0681
  0.0112202              1503.2505
  0.0114815              1458.6034
  0.0117490              1415.1065
  0.0120226              1372.7264
  0.0123027              1331.4363
  0.0125893              1291.2164
  0.0128825              1252.0480
  0.0131826              1213.9032
  0.0134896              1176.7505
  0.0138038              1140.5790
  0.0141254              1105.3650
  0.0144544              1071.0774
  0.0147911              1037.7058
  0.0151356              1005.2263
  0.0154882              973.61695
  0.0158489              942.85584
  0.0162181              912.92763
  0.0165959              883.80899
  0.0169824              855.48884
  0.0173780              827.94383
  0.0177828              801.15017
  0.0181970              775.10195
  0.0186209              749.77257
  0.0190546              725.15036
  0.0194984              701.21346
  0.0199526              677.95106
  0.0204174              655.34610
  0.0208930              633.38314
  0.0213796              612.04291
  0.0218776              591.31350
  0.0223872              571.17919
  0.0229087              551.62956
  0.0234423              532.64771
  0.0239883              514.21686
  0.0245471              496.32987
  0.0251189              478.96761
  0.0257040              462.12069
  0.0263027              445.77257
  0.0269154              429.91765
  0.0275423              414.53896
  0.0281838              399.62483
  0.0288403              385.16468
  0.0295121              371.14647
  0.0301995              357.56122
  0.0309030              344.39198
  0.0316228              331.63456
  0.0323594              319.27680
  0.0331131              307.30591
  0.0338844              295.71518
  0.0346737              284.49244
  0.0354813              273.62881
  0.0363078              263.11472
  0.0371535              252.94222
  0.0380189              243.10045
  0.0389045              233.58157
  0.0398107              224.37714
  0.0407380              215.47815
  0.0416869              206.87651
  0.0426579              198.56331
  0.0436516              190.53255
  0.0446684              182.77497
  0.0457088              175.28321
  0.0467735              168.05092
  0.0478630              161.06873
  0.0489779              154.33168
  0.0501187              147.83115
  0.0512861              141.56231
  0.0524808              135.51626
  0.0537032              129.68879
  0.0549541              124.07177
  0.0562341              118.66003
  0.0575440              113.44735
  0.0588844              108.42696
  0.0602559              103.59419
  0.0616595              98.943132
  0.0630957              94.467841
  0.0645654              90.163483
  0.0660693              86.024570
  0.0676083              82.045769
  0.0691831              78.222216
  0.0707946              74.549280
  0.0724436              71.021722
  0.0741310              67.635176
  0.0758578              64.384989
  0.0776247              61.267033
  0.0794328              58.276444
  0.0812831              55.409488
  0.0831764              52.661887
  0.0851138              50.029278
  0.0870964              47.508273
  0.0891251              45.094903
  0.0912011              42.785360
  0.0933254              40.576157
  0.0954993              38.463520
  0.0977237              36.444301
  0.100000              34.515096
  0.102329              32.672476
  0.104713              30.913541
  0.107152              29.235135
  0.109648              27.634253
  0.112202              26.107870
  0.114815              24.653435
  0.117490              23.267895
  0.120226              21.948826
  0.123027              20.693512
  0.125893              19.499566
  0.128825              18.364374
  0.131826              17.285691
  0.134896              16.261107
  0.138038              15.288654
  0.141254              14.365919
  0.144544              13.490958
  0.147911              12.661680
  0.151356              11.876117
  0.154882              11.132466
  0.158489              10.428811
  0.162181              9.7634370
  0.165959              9.1346037
  0.169824              8.5406489
