# Wavenumber k [Mpc^(-1)]      P(k) [Mpc^3]
  9.9999984e-06              95.502695
  1.0471284e-05              99.818178
  1.0964780e-05              104.32860
  1.1481534e-05              109.04275
  1.2022642e-05              113.96983
  1.2589252e-05              119.11946
  1.3182565e-05              124.50166
  1.3803841e-05              130.12695
  1.4454395e-05              136.00628
  1.5135610e-05              142.15112
  1.5848930e-05              148.57345
  1.6595866e-05              155.28578
  1.7378005e-05              162.30120
  1.8197005e-05              169.63336
  1.9054604e-05              177.29658
  1.9952621e-05              185.30575
  2.0892958e-05              193.67648
  2.1877613e-05              202.42508
  2.2908674e-05              211.56858
  2.3988325e-05              221.12475
  2.5118861e-05              231.11222
  2.6302675e-05              241.55040
  2.7542283e-05              252.45961
  2.8840311e-05              263.86106
  3.0199512e-05              275.77690
  3.1622772e-05              288.23032
  3.3113106e-05              301.24548
  3.4673682e-05              314.84772
  3.6307801e-05              329.06338
  3.8018933e-05              343.92010
  3.9810714e-05              359.44676
  4.1686933e-05              375.67338
  4.3651576e-05              392.63148
  4.5708815e-05              410.35399
  4.7863003e-05              428.87514
  5.0118715e-05              448.23085
  5.2480742e-05              468.45867
  5.4954081e-05              489.59761
  5.7543985e-05              511.68863
  6.0255947e-05              534.77442
  6.3095728e-05              558.89966
  6.6069335e-05              584.11079
  6.9183084e-05              610.45654
  7.2443589e-05              637.98779
  7.5857747e-05              666.75744
  7.9432809e-05              696.82099
  8.3176369e-05              728.23636
  8.7096347e-05              761.06380
  9.1201068e-05              795.36646
  9.5499251e-05              831.21029
  9.9999987e-05              868.66383
  0.00010471284              907.79894
  0.00010964780              948.69052
  0.00011481533              991.41676
  0.00012022644              1036.0595
  0.00012589253              1082.7034
  0.00013182566              1131.4376
  0.00013803840              1182.3547
  0.00014454395              1235.5516
  0.00015135609              1291.1290
  0.00015848932              1349.1927
  0.00016595868              1409.8516
  0.00017378007              1473.2207
  0.00018197006              1539.4193
  0.00019054604              1608.5719
  0.00019952619              1680.8081
  0.00020892961              1756.2637
  0.00021877615              1835.0786
  0.00022908675              1917.4001
  0.00023988326              2003.3812
  0.00025118860              2093.1810
  0.00026302674              2186.9655
  0.00027542288              2284.9078
  0.00028840314              2387.1866
  0.00030199515              2493.9892
  0.00031622773              2605.5102
  0.00033113107              2721.9517
  0.00034673678              2843.5241
  0.00036307797              2970.4456
  0.00038018939              3102.9440
  0.00039810715              3241.2533
  0.00041686934              3385.6188
  0.00043651577              3536.2941
  0.00045708811              3693.5422
  0.00047862998              3857.6355
  0.00050118724              4028.8574
  0.00052480744              4207.4977
  0.00054954083              4393.8596
  0.00057543987              4588.2551
  0.00060255948              4791.0065
  0.00063095721              5002.4461
  0.00066069346              5222.9178
  0.00069183095              5452.7715
  0.00072443591              5692.3710
  0.00075857749              5942.0883
  0.00079432811              6202.3049
  0.00083176361              6473.4112
  0.00087096362              6755.8079
  0.00091201083              7049.8982
  0.00095499254              7356.0975
  0.00099999990              7674.8256
  0.0010471284              8006.5074
  0.0010964780              8351.5712
  0.0011481534              8710.4477
  0.0012022641              9083.5681
  0.0012589250              9471.3616
  0.0013182563              9874.2538
  0.0013803845              10292.668
  0.0014454399              10727.005
  0.0015135613              11177.664
  0.0015848932              11645.025
  0.0016595869              12129.446
  0.0017378007              12631.260
  0.0018197007              13150.767
  0.0019054604              13688.231
  0.0019952619              14243.874
  0.0020892956              14817.866
  0.0021877610              15410.320
  0.0022908669              16021.283
  0.0023988334              16650.734
  0.0025118868              17298.548
  0.0026302682              17964.526
  0.0027542288              18648.360
  0.0028840315              19349.628
  0.0030199516              20067.780
  0.0031622774              20802.135
  0.0033113108              21551.862
  0.0034673679              22315.975
  0.0036307798              23093.321
  0.0038018930              23882.571
  0.0039810705              24682.216
  0.0041686924              25490.554
  0.0043651590              26305.703
  0.0045708825              27125.555
  0.0047863013              27947.836
  0.0050118725              28770.074
  0.0052480746              29589.610
  0.0054954085              30403.616
  0.0057543988              31209.101
  0.0060255950              32002.936
  0.0063095723              32781.872
  0.0066069330              33542.566
  0.0069183079              34281.611
  0.0072443574              34995.565
  0.0075857772              35680.993
  0.0079432836              36334.474
  0.0083176386              36952.677
  0.0087096365              37532.371
  0.0091201086              38070.465
  0.0095499257              38564.040
  0.0099999994              39010.379
  0.010471284              39406.992
  0.010964780              39751.641
  0.011481534              40042.354
  0.012022641              40277.441
  0.012589251              40455.504
  0.013182563              40575.435
  0.013803845              40636.423
  0.014454400              40637.946
  0.015135614              40579.766
  0.015848933              40461.921
  0.016595869              40284.713
  0.017378008              40048.694
  0.018197007              39754.658
  0.019054605              39403.627
  0.019952620              38996.837
  0.020892957              38535.729
  0.021877611              38021.940
  0.022908670              37457.294
  0.023988334              36843.785
  0.025118869              36183.602
  0.026302683              35479.079
  0.027542289              34732.719
  0.028840316              33947.179
  0.030199517              33125.268
  0.031622775              32269.935
  0.033113109              31384.266
  0.034673680              30471.470
  0.036307799              29534.866
  0.038018931              28577.872
  0.039810707              27603.982
  0.041686926              26616.748
  0.043651592              25619.745
  0.045708826              24616.592
  0.047863015              23610.853
  0.050118727              22606.055
  0.052480747              21605.648
  0.054954086              20612.975
  0.057543990              19631.239
  0.060255952              18663.480
  0.063095725              17712.548
  0.066069332              16781.080
  0.069183081              15871.483
  0.072443576              14985.916
  0.075857775              14126.271
  0.079432838              13294.207
  0.083176389              12491.086
  0.087096368              11718.017
  0.091201089              10975.848
  0.095499260              10265.182
  0.099999997              9586.3797
  0.10471285              8939.5827
  0.10964781              8324.7247
  0.11481534              7741.5516
  0.12022642              7189.6396
  0.12589251              6668.4148
  0.13182564              6177.1724
  0.13803838              5715.0958
  0.14454392              5281.2747
  0.15135606              4874.7227
  0.15848925              4494.3939
  0.16595861              4139.1976
  0.17377999              3808.0126
  0.18197018              3499.6925
  0.19054616              3213.1056
  0.19952631              2947.1010
  0.20892969              2700.5466
  0.21877623              2472.3294
  0.22908683              2261.3611
  0.23988335              2066.5837
  0.25118869              1886.9733
  0.26302684              1721.5434
  0.27542290              1569.3476
  0.28840317              1429.4810
  0.30199518              1301.0814
  0.31622776              1183.3301
  0.33113110              1075.4515
  0.34673681              976.71355
  0.36307800              886.42628
  0.38018932              803.94151
  0.39810708              728.65142
  0.41686927              659.98734
  0.43651569              597.41825
  0.45708802              540.44922
  0.47862990              488.61984
  0.50118701              441.50247
  0.52480720              398.70059
  0.54954058              359.84711
  0.57544024              324.60186
  0.60255987              292.65324
  0.63095762              263.71155
  0.66069371              237.51088
  0.69183121              213.80671
  0.72443618              192.37444
  0.75857777              173.00804
  0.79432841              155.51870
  0.83176392              139.73356
  0.87096370              125.49457
  0.91201092              112.65731
  0.95499263              101.08998
  1.0000000              90.672393
  1.0471285              81.295060
  1.0964781              72.858309
  1.1481535              65.271489
  1.2022642              58.452221
  1.2589251              52.325700
  1.3182564              46.824052
  1.3803838              41.885736
  1.4454393              37.454995
  1.5135607              33.481346
  1.5848925              29.919111
  1.6595861              26.726992
  1.7377999              23.867668
  1.8197018              21.307381
  1.9054617              19.015837
  1.9952632              16.965538
