# Mass [10^15 Msun]      sigma(M,z=0)
  0.0100000              1.5650991
  0.0102329              1.5587277
  0.0104713              1.5523695
  0.0107152              1.5460233
  0.0109648              1.5396902
  0.0112202              1.5333698
  0.0114815              1.5270619
  0.0117490              1.5207674
  0.0120226              1.5144852
  0.0123027              1.5082156
  0.0125893              1.5019590
  0.0128825              1.4957156
  0.0131826              1.4894852
  0.0134896              1.4832672
  0.0138038              1.4770624
  0.0141254              1.4708706
  0.0144544              1.4646916
  0.0147911              1.4585254
  0.0151356              1.4523725
  0.0154882              1.4462326
  0.0158489              1.4401049
  0.0162181              1.4339908
  0.0165959              1.4278892
  0.0169824              1.4218016
  0.0173780              1.4157265
  0.0177828              1.4096643
  0.0181970              1.4036159
  0.0186209              1.3975797
  0.0190546              1.3915570
  0.0194984              1.3855473
  0.0199526              1.3795507
  0.0204174              1.3735675
  0.0208930              1.3675977
  0.0213796              1.3616406
  0.0218776              1.3556967
  0.0223872              1.3497659
  0.0229087              1.3438485
  0.0234423              1.3379443
  0.0239883              1.3320535
  0.0245471              1.3261760
  0.0251189              1.3203114
  0.0257040              1.3144604
  0.0263027              1.3086222
  0.0269154              1.3027978
  0.0275423              1.2969867
  0.0281838              1.2911890
  0.0288403              1.2854046
  0.0295121              1.2796334
  0.0301995              1.2738758
  0.0309030              1.2681313
  0.0316228              1.2624003
  0.0323594              1.2566830
  0.0331131              1.2509787
  0.0338844              1.2452882
  0.0346737              1.2396108
  0.0354813              1.2339472
  0.0363078              1.2282968
  0.0371535              1.2226604
  0.0380189              1.2170369
  0.0389045              1.2114272
  0.0398107              1.2058312
  0.0407380              1.2002485
  0.0416869              1.1946796
  0.0426579              1.1891239
  0.0436516              1.1835821
  0.0446684              1.1780538
  0.0457088              1.1725391
  0.0467735              1.1670383
  0.0478630              1.1615505
  0.0489779              1.1560767
  0.0501187              1.1506164
  0.0512861              1.1451704
  0.0524808              1.1397371
  0.0537032              1.1343185
  0.0549541              1.1289130
  0.0562341              1.1235214
  0.0575440              1.1181437
  0.0588844              1.1127792
  0.0602559              1.1074289
  0.0616595              1.1020923
  0.0630957              1.0967693
  0.0645654              1.0914603
  0.0660693              1.0861651
  0.0676083              1.0808835
  0.0691831              1.0756159
  0.0707946              1.0703621
  0.0724436              1.0651221
  0.0741310              1.0598959
  0.0758578              1.0546836
  0.0776247              1.0494852
  0.0794328              1.0443008
  0.0812831              1.0391302
  0.0831764              1.0339736
  0.0851138              1.0288306
  0.0870964              1.0237017
  0.0891251              1.0185869
  0.0912011              1.0134859
  0.0933254              1.0083991
  0.0954993              1.0033261
  0.0977237              0.99826685
  0.100000              0.99322198
  0.102329              0.98819070
  0.104713              0.98317368
  0.107152              0.97817073
