# Distance r [Mpc]      xsi(r)
  0.099999997              32.044107
  0.12589254              28.161170
  0.15848932              25.195518
  0.19952623              22.080954
  0.25118864              19.339741
  0.31622776              16.855319
  0.39810719              14.614709
  0.50118722              12.538385
  0.63095736              10.690393
  0.79432819              9.0437472
  1.0000000              7.5689360
  1.2589255              6.2745636
  1.5848934              5.1447741
  1.9952621              4.1660099
  2.5118863              3.3273981
  3.1622777              2.6184934
  3.9810720              2.0258158
  5.0118730              1.5378070
  6.3095729              1.1428488
  7.9432821              0.82892647
  10.000000              0.58475028
  12.589252              0.39956339
  15.848934              0.26303483
  19.952622              0.16577309
  25.118871              0.099205782
  31.622778              0.055813011
  39.810710              0.029123981
  50.118732              0.013834143
  63.095731              0.0058021501
  79.432846              0.0020108411
  100.00001              0.00045282758
  125.89252              -6.7107298e-05
  158.48935              -0.00017285721
  199.52622              -0.00014658224
  251.18872              -9.5492837e-05
  316.22779              -4.7876509e-05
  398.10712              -2.1175665e-05
  501.18733              -7.0569958e-06
  630.95733              3.5545519e-06
  794.32848              6.2869016e-06
  1000.0001              8.5397478e-06
